"u_account","u_account.name","u_account.u_number","acv","acv_usd","annual_list_value","annual_list_value_usd","contract","notes","product_price","quantity","sales_price","product_price.product.u_family_3","product_price.product.u_family_2","number"
"Queensland Dept Of Justice & Attorney General","Queensland Dept Of Justice & Attorney General","ACCT0016652","3,183.6","2,376.84","3,822","2,940","CON0551226","","Now Platform App Engine Starter - Platform User (AUD)","35","7.58","App Engine Starter","App Engine - Legacy","CLI0157113"
"Queensland Dept Of Education And Training","Queensland Dept Of Education And Training","ACCT0007369","379,132.8","293,493.1","683,280","525,600","32010KEY","","App Engine - Fulfiller   (AUD)","292","108.2","App Engine Fulfiller","Now Platform App Engine","CLI0185270"
"Queensland Corrective Services","Queensland Corrective Services","ACCT0033234","6,822","4,944.66","9,198","6,300","BV-02815SM","","Now Platform App Engine Starter - Platform User (AUD)","75","7.58","App Engine Starter","App Engine - Legacy","CLI0128156"
"Quanta Services Management Partnership LP","Quanta Services Management Partnership LP","ACCT0002318","2,880","2,880","2,880","2,880","CON0554914","","Now Platform App Engine Starter + - Platform User (USD)","15","16","App Engine Starter","App Engine - Legacy","CLI0116458"
"Qualtrics, LLC","Qualtrics, LLC","ACCT0082808","432,000","432,000","1,080,000","1,080,000","CON5019997","","App Engine - Unrestricted User (USD)","4,500","8","App Engine Unrestricted User","Now Platform App Engine","CLI0192730"
"Quality Technology Services LLC","Quality Technology Services LLC","ACCT0017060","11,340","11,340","22,680","22,680","16113RA","","Now Platform App Engine Starter - Unrestricted User (USD)","630","1.5","App Engine Starter","App Engine - Legacy","CLI0122616"
"Qliktech UK Ltd","Qliktech UK Ltd","ACCT0024345","82,500","116,964.58","376,200","495,000","CON1069008","","App Engine - Fulfiller   (GBP)","275","25","App Engine Fulfiller","Now Platform App Engine","CLI0131977"
"PWC Singapore","PWC Singapore","ACCT0040613","42,900","42,900","90,000","90,000","CON1366910","","App Engine - Fulfiller   (USD)","50","71.5","App Engine Fulfiller","Now Platform App Engine","CLI0176512"
"PVH Asia Ltd","PVH Asia Ltd","ACCT0069712","38,545.2","38,545.2","49,800","49,800","CON0079561","","Now Platform App Engine Standard - Platform User (USD)","166","19.35","App Engine Standard","App Engine - Legacy","CLI0209517"
"Pure IP Ltd","Pure IP Ltd","ACCT0074178","4,920","6,663.85","0","0","CON0091947","","Now Platform® App Engine for IT Service Management - Module (GBP)","1","410","App Engine ITSM","Now Platform App Engine","CLI0179899"
"Publicis Groupe","Publicis Groupe","ACCT0000211","219,774.48","219,774.48","0","0","CON1409507","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","18,314.54","App Engine CSM","Now Platform App Engine","CLI0193450"
"Public Safety Canada","Public Safety Canada","ACCT0017210","54,168","42,704.64","87,246","66,600","CON5022107","","App Engine - Fulfiller   (CAD)","37","122","App Engine Fulfiller","Now Platform App Engine","CLI0215892"
"PTT Digital Solutions Company Limited","PTT Digital Solutions Company Limited","ACCT0039829","62,400","62,400","360,000","360,000","CON0088257-ADDL ","","App Engine - Fulfiller   (USD)","200","26","App Engine Fulfiller","Now Platform App Engine","CLI0184158"
"PTT Digital Solutions Company Limited","PTT Digital Solutions Company Limited","ACCT0039829","44,100","44,100","180,000","180,000","CON0088257","","App Engine - Fulfiller   (USD)","100","36.75","App Engine Fulfiller","Now Platform App Engine","CLI0186479"
"Prudential Financial GBTS","Prudential Financial GBTS","ACCT0035909","460,320","460,320","6,720,000","6,720,000","08311JK-GBTS","","App Engine - Unrestricted User (USD)","28,000","1.37","App Engine Unrestricted User","Now Platform App Engine","CLI0211928"
"Proquire LLC (Accenture)","Proquire LLC (Accenture)","ACCT0066425","0","0","741,600","741,600","13914AN-1-12mnts","","App Engine - Fulfiller   (USD)","412","0","App Engine Fulfiller","Now Platform App Engine","CLI0198267"
"PromonLogicalis Tecnologia E Participaco","PromonLogicalis Tecnologia E Participaco","ACCT0019635","51,970.44","9,919.32","0","0","27512SR","","Now Platform® App Engine for IT Service Management - Module (BRL)","1","4,330.87","App Engine ITSM","Now Platform App Engine","CLI0187416"
"ProLogic ITS LLC","ProLogic ITS LLC","ACCT0071576","13,824","13,824","0","0","CON0083955","","Now Platform® App Engine for IT Service Management - Module (USD)","1","1,152","App Engine ITSM","Now Platform App Engine","CLI0171520"
"ProHealth Care Inc","ProHealth Care Inc","ACCT0008159","0","0","0","0","04712BC","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0193589"
"Prog Leasing LLC","Prog Leasing LLC","ACCT0068250","75,840","75,840","144,000","144,000","CON0075021","","App Engine - Fulfiller   (USD)","80","79","App Engine Fulfiller","Now Platform App Engine","CLI0170492"
"Prodec Networks Ltd","Prodec Networks Ltd","ACCT0108675","4,395.6","5,840.81","0","0","CON0680149","","Now Platform® App Engine for Customer Service Management - Module (GBP)","1","366.3","App Engine CSM","Now Platform App Engine","CLI0173761"
"Prisma Health","Prisma Health","ACCT0006779","83,700","83,700","0","0","24812KD","","Now Platform® App Engine for IT Service Management - Module (USD)","1","6,975","App Engine ITSM","Now Platform App Engine","CLI0163191"
"Prisma Health","Prisma Health","ACCT0006779","12,000","12,000","45,000","45,000","24812KD","","App Engine - Fulfiller   (USD)","25","40","App Engine Fulfiller","Now Platform App Engine","CLI0163197"
"PricewaterhouseCoopers GLSC","PricewaterhouseCoopers GLSC","ACCT0122481","68,640","68,640","144,000","144,000","CON0715380","","App Engine - Fulfiller   (USD)","80","71.5","App Engine Fulfiller","Now Platform App Engine","CLI0143926"
"Premise Health Holding Corp","Premise Health Holding Corp","ACCT0066953","168,000","168,000","600,000","600,000","CON0071349","","Now Platform App Engine Professional - Platform User (USD)","500","28","App Engine Professional","App Engine - Legacy","CLI0116153"
"Premier Health Partners","Premier Health Partners","ACCT0006863","4,838.4","4,838.4","6,048","6,048","30512LOG","","Now Platform App Engine Starter - Platform User (USD)","72","5.6","App Engine Starter","App Engine - Legacy","CLI0167074"
"Post Office Ltd","Post Office Ltd","ACCT0021753","46,985.28","64,611.64","0","0","CON0611893","","Now Platform® App Engine for Customer Service Management - Module (GBP)","1","3,915.44","App Engine CSM","Now Platform App Engine","CLI0143658"
"Pon IT BV","Pon IT BV","ACCT0019275","22,086.24","26,817.11","25,098","28,200","BV-03714LW","","Now Platform App Engine Standard - Platform User (EUR)","94","19.58","App Engine Standard","App Engine - Legacy","CLI0117099"
"Pomerleau","Pomerleau","ACCT0002858","63,756","63,756","118,800","118,800","CON1078953","","Now Platform App Engine Starter + - Unrestricted User (USD)","1,650","3.22","App Engine Starter","App Engine - Legacy","CLI0113738"
"Point B Inc","Point B Inc","ACCT0072369","5,679.96","5,679.96","0","0","CON0086080","","Now Platform® App Engine for IT Service Management - Module (USD)","1","473.33","App Engine ITSM","Now Platform App Engine","CLI0153011"
"PMI Comercio Intl SA De CV","PMI Comercio Intl SA De CV","ACCT0031992","5,583.24","5,583.24","0","0","CON0614891","","Now Platform® App Engine for IT Service Management - Module (USD)","1","465.27","App Engine ITSM","Now Platform App Engine","CLI0153036"
"Playtika Ltd","Playtika Ltd","ACCT0031277","273,360","273,360","1,366,800","1,366,800","BV-07114LA","","App Engine - Unrestricted User (USD)","5,695","4","App Engine Unrestricted User","Now Platform App Engine","CLI0144656"
"Philippine Long Distance Telephone Co PLDT","Philippine Long Distance Telephone Co PLDT","ACCT0024980","381,600","381,600","763,200","763,200","CON0671794","","Now Platform App Engine Starter - Unrestricted User (USD)","21,200","1.5","App Engine Starter","App Engine - Legacy","CLI0134417"
"Pfizer Inc","Pfizer Inc","ACCT0000515","19,500","19,500","45,000","45,000","CON5001153","","App Engine - Fulfiller   (USD)","25","65","App Engine Fulfiller","Now Platform App Engine","CLI0185967"
"Petrobras Distribuidora SA","Petrobras Distribuidora SA","ACCT0032227","74,131.2","13,981.51","144,720","36,000","CON0754565","","App Engine - Fulfiller   (BRL)","20","308.88","App Engine Fulfiller","Now Platform App Engine","CLI0167891"
"Petrobras Brasileiro SA","Petrobras Brasileiro SA","ACCT0019204","9,365,664","1,652,666.24","59,431,680","14,784,000","CON1063059","","App Engine - Unrestricted User (BRL)","61,600","12.67","App Engine Unrestricted User","Now Platform App Engine","CLI0145896"
"Perrigo Company Plc","Perrigo Company Plc","ACCT0001534","7,500","7,500","7,500","7,500","15210ST","","Now Platform App Engine Standard - Platform User (USD)","25","25","App Engine Standard","App Engine - Legacy","CLI0100908"
"Pernod Ricard India Pvt Ltd","Pernod Ricard India Pvt Ltd","ACCT0094082","56,700","56,700","84,000","84,000","CON1263081","","App Engine - Unrestricted User (USD)","350","13.5","App Engine Unrestricted User","Now Platform App Engine","CLI0176902"
"Perdoceo Education Corp","Perdoceo Education Corp","ACCT0001291","0","0","0","0","16109ST","","Now Platform® App Engine for IT Service Management - Module (USD)","1","0","App Engine ITSM","Now Platform App Engine","CLI0142897"
"Pension Services Corp Ltd","Pension Services Corp Ltd","ACCT0000742","111,141.6","153,723.25","136,800","180,000","CON0624499","","App Engine - Fulfiller   (GBP)","100","92.62","App Engine Fulfiller","Now Platform App Engine","CLI0152939"
"Penn State Health","Penn State Health","ACCT0002847","5,840.64","5,840.64","5,840.64","5,840.64","CON0061464","","I2 Now Platform® App Engine - Fulfiller User (USD)","13","37.44","App Engine Professional","App Engine","CLI0141221"
"Peapack Gladstone Bank Headquarters","Peapack Gladstone Bank Headquarters","ACCT0070950","6,375","6,375","7,500","7,500","CON0082142","","Now Platform App Engine Standard - Platform User (USD)","25","21.25","App Engine Standard","App Engine - Legacy","CLI0099151"
"PCL Constructors Inc","PCL Constructors Inc","ACCT0001671","24,180","24,180","195,000","195,000","15509JW","","Now Platform App Engine Starter - Unrestricted User (USD)","6,500","0.31","App Engine Starter","App Engine - Legacy","CLI0099164"
"Paul Hastings LLP","Paul Hastings LLP","ACCT0007248","63,000","63,000","90,000","90,000","CON1014629","","App Engine - Fulfiller   (USD)","50","105","App Engine Fulfiller","Now Platform App Engine","CLI0215889"
"Paul Hartmann AG","Paul Hartmann AG","ACCT0026526","73,152","86,963.1","0","0","CON1226577","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","6,096","App Engine ITSM","Now Platform App Engine","CLI0172007"
"Paul Hartmann AG","Paul Hartmann AG","ACCT0026526","0","0","1,062,126","1,193,400","CON1226577","","App Engine - Fulfiller   (EUR)","663","0","App Engine Fulfiller","Now Platform App Engine","CLI0172008"
"Partners HealthCare System Inc","Partners HealthCare System Inc","ACCT0012116","153,139.2","153,139.2","0","0","25513SM","","Now Platform® App Engine for IT Service Management - Module (USD)","1","12,761.6","App Engine ITSM","Now Platform App Engine","CLI0158591"
"Parsley Energy Operations LLC","Parsley Energy Operations LLC","ACCT0038462","13,500","13,500","27,000","27,000","CON0672505","","App Engine - Fulfiller   (USD)","15","75","App Engine Fulfiller","Now Platform App Engine","CLI0144112"
"Parkland Fuel Corp","Parkland Fuel Corp","ACCT0001670","3,240","3,240","3,000","3,000","CON0538055","","Now Platform App Engine Standard - Platform User (USD)","10","27","App Engine Standard","App Engine - Legacy","CLI0120116"
"Parker Drilling Management Services Ltd","Parker Drilling Management Services Ltd","ACCT0002189","6,480","6,480","10,800","10,800","CON0070287","","App Engine - Fulfiller   (USD)","6","90","App Engine Fulfiller","Now Platform App Engine","CLI0213259"
"Papuan Oil Search Ltd","Papuan Oil Search Ltd","ACCT0000923","77,400","59,652.68","936,000","720,000","BV-01610KEY","","App Engine - Fulfiller   (AUD)","400","16.13","App Engine Fulfiller","Now Platform App Engine","CLI0186805"
"Packers Plus Energy Services Inc","Packers Plus Energy Services Inc","ACCT0010614","6,000","6,000","0","0","14711MB","","Now Platform® App Engine for IT Service Management - Module (USD)","1","500","App Engine ITSM","Now Platform App Engine","CLI0199187"
"OXY Inc","OXY Inc","ACCT0003594","240,108","240,108","330,000","330,000","12313TN","","Now Platform App Engine Standard - Platform User (USD)","1,100","18.19","App Engine Standard","App Engine - Legacy","CLI0155851"
"OUHSC/IT","OUHSC/IT","ACCT0000006","12,130.56","12,130.56","12,130.56","12,130.56","07306DG-PROD2","","I2 Now Platform® App Engine - Fulfiller User (USD)","27","37.44","App Engine Professional","App Engine","CLI0148816"
"OUHSC/IT","OUHSC/IT","ACCT0000006","12,130.56","12,130.56","12,130.56","12,130.56","07306DG","","I2 Now Platform® App Engine - Fulfiller User (USD)","27","37.44","App Engine Professional","App Engine","CLI0148720"
"OrthoVirginia Inc","OrthoVirginia Inc","ACCT0085678","10,130.4","10,130.4","0","0","CON0569383","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","844.2","App Engine CSM","Now Platform App Engine","CLI0153310"
"Orrick, Herrington & Sutcliffe LLP","Orrick, Herrington & Sutcliffe LLP","ACCT0001035","63,000","63,000","270,000","270,000","02308JH","","App Engine - Fulfiller   (USD)","150","35","App Engine Fulfiller","Now Platform App Engine","CLI0189031"
"Orifarm Group AS","Orifarm Group AS","ACCT0026637","9,014.28","10,657.58","0","0","BV-34113CH","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","751.19","App Engine ITSM","Now Platform App Engine","CLI0159105"
"OrganizeIT- MSP","OrganizeIT- MSP","ACCT0035937","382,806","77,040.92","560,520","108,000","17414SIT","","App Engine - Unrestricted User (BRL)","450","70.89","App Engine Unrestricted User","Now Platform App Engine","CLI0212378"
"Optus Pty Ltd","Optus Pty Ltd","ACCT0014165","149,520","111,630.14","833,040","640,800","CON0642314-Nucleus","","App Engine - Fulfiller   (AUD)","356","35","App Engine Fulfiller","Now Platform App Engine","CLI0192045"
"Oportun Inc","Oportun Inc","ACCT0033325","92,400","92,400","105,600","105,600","33814AC","","Now Platform App Engine Starter + - Platform User (USD)","550","14","App Engine Starter","App Engine - Legacy","CLI0157417"
"Operational Services - dmTECH GmbH","Operational Services - dmTECH GmbH","ACCT0076345","8,190.72","9,683.89","0","0","LCN0010982-DM-CSM","","Now Platform® App Engine for Customer Service Management - Module (EUR)","1","682.56","App Engine CSM","Now Platform App Engine","CLI0193096"
"Operational Services - Bruderhaus","Operational Services - Bruderhaus","ACCT0064555","2,349.6","2,777.93","2,136","3,000","BV-09914AH-BRDHS","","Now Platform App Engine Standard - Platform User (EUR)","10","19.58","App Engine Standard","App Engine - Legacy","CLI0166967"
"OP-Services Ltd","OP-Services Ltd","ACCT0010194","248,508","295,973.03","1,441,800","1,620,000","CON1362005","","App Engine - Fulfiller   (EUR)","900","23.01","App Engine Fulfiller","Now Platform App Engine","CLI0210674"
"OP-Services Ltd","OP-Services Ltd","ACCT0010194","250,344","298,159.7","0","0","CON1362005","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","20,862","App Engine ITSM","Now Platform App Engine","CLI0210668"
"ONEOK Inc","ONEOK Inc","ACCT0001159","28,929.6","28,929.6","172,200","172,200","16308MB","","Now Platform App Engine Standard - Platform User (USD)","574","4.2","App Engine Standard","App Engine - Legacy","CLI0103750"
"On Direct Business Services Ltd","On Direct Business Services Ltd","ACCT0022964","18,408","24,691.48","0","0","BV-35112JA","","Now Platform® App Engine for IT Service Management - Module (GBP)","1","1,534","App Engine ITSM","Now Platform App Engine","CLI0175234"
"Omya Schweiz AG","Omya Schweiz AG","ACCT0011329","0","0","0","0","CON0640756","","Now Platform App Engine Starter - Platform User (CHF)","0","0","App Engine Starter","App Engine - Legacy","CLI0133542"
"OMV AG","OMV AG","ACCT0011171","86,400","102,712.32","192,240","216,000","CON0614673","","App Engine - Fulfiller   (EUR)","120","60","App Engine Fulfiller","Now Platform App Engine","CLI0211079"
"Omnicare Inc","Omnicare Inc","ACCT0004027","6,798","6,798","99,000","99,000","22609TB-PAAS","","App Engine - Fulfiller   (USD)","55","10.3","App Engine Fulfiller","Now Platform App Engine","CLI0160138"
"OLX Europe","OLX Europe","ACCT0091437","3,036","3,572.16","17,622","19,800","CON1170409","","App Engine - Fulfiller   (EUR)","11","23","App Engine Fulfiller","Now Platform App Engine","CLI0138177"
"Okinawa Institute of Science and Technology School Corporation","Okinawa Institute of Science and Technology School Corporation","ACCT0110275","1,500,000","13,551.83","2,160,000","18,000","CON0697326","","App Engine - Fulfiller   (JPY)","10","12,500","App Engine Fulfiller","Now Platform App Engine","CLI0210068"
"Ohio State University Office Of Information Technology","Ohio State University Office Of Information Technology","ACCT0005646","0","0","134,784","134,784","CON1098683","","I2 Now Platform® App Engine - Fulfiller User (USD)","300","0","App Engine Professional","App Engine","CLI0160830"
"Ocwen Financial Corp","Ocwen Financial Corp","ACCT0056712","6,000","6,000","15,000","15,000","CON0062105","","Now Platform App Engine Standard - Platform User (USD)","50","10","App Engine Standard","App Engine - Legacy","CLI0104968"
"Ocean Network Express Pte Ltd","Ocean Network Express Pte Ltd","ACCT0097696","0","0","18,000","18,000","CON0641397","","App Engine - Fulfiller   (USD)","10","0","App Engine Fulfiller","Now Platform App Engine","CLI0154981"
"Nye Veier AS","Nye Veier AS","ACCT0071147","6,998.4","6,998.4","0","0","CON5008733","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","583.2","App Engine CSM","Now Platform App Engine","CLI0156253"
"nuvolax GmbH & Co. KG","nuvolax GmbH & Co. KG","ACCT0078376","31,985.52","38,024.39","33,748.8","37,920","CON0558407","","App Engine - Unrestricted User (EUR)","158","16.87","App Engine Unrestricted User","Now Platform App Engine","CLI0211034"
"Nuuday A/S","Nuuday A/S","ACCT0031652","405,507.96","65,232.85","0","0","CON0055903","","Now Platform® App Engine for Customer Service Management - Module (DKK)","1","33,792.33","App Engine CSM","Now Platform App Engine","CLI0195981"
"NuAxis Innovations - US House Of Representatives","NuAxis Innovations - US House Of Representatives","ACCT0153792","28,224","28,224","28,800","28,800","LCN0009369-HORCCP","","App Engine - Fulfiller   (USD)","16","147","App Engine Fulfiller","Now Platform App Engine","CLI0154253"
"NTT Data Italia SpA","NTT Data Italia SpA","ACCT0040170","101,520","120,879.86","279,936","345,600","CON1061360","","Now Platform App Engine Standard - Unrestricted User (EUR)","3,600","2.35","App Engine Standard","App Engine - Legacy","CLI0139131"
"NTT Data Financial Core Corp","NTT Data Financial Core Corp","ACCT0124412","2,098,800","18,835.67","1,908,000","15,900","CON1124011","","Now Platform App Engine Standard - Platform User (JPY)","53","3,300","App Engine Standard","App Engine - Legacy","CLI0192036"
"NTT DATA Corp - Managed Network Services MNS","NTT DATA Corp - Managed Network Services MNS","ACCT0093477","17,676,000","167,639.36","0","0","CON0607469","","Now Platform® App Engine for Customer Service Management - Module (JPY)","1","1,473,000","App Engine CSM","Now Platform App Engine","CLI0136288"
"NTT Data Corp - GAIA","NTT Data Corp - GAIA","ACCT0150949","127,008,000","1,139,832.69","259,200,000","2,160,000","CON1104512-GAIA","","Now Platform App Engine Professional - Unrestricted User (JPY)","12,000","882","App Engine Professional","App Engine - Legacy","CLI0147483"
"NTT Comware Corp - Financial BD","NTT Comware Corp - Financial BD","ACCT0138004","4,924,800","44,197.59","5,184,000","43,200","CON5024214","","App Engine - Fulfiller   (JPY)","24","17,100","App Engine Fulfiller","Now Platform App Engine","CLI0190417"
"NTT Comware Corp","NTT Comware Corp","ACCT0059120","56,700","56,700","0","0","CON5028894","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","4,725","App Engine CSM","Now Platform App Engine","CLI0211467"
"NTT Communications Corp","NTT Communications Corp","ACCT0059218","32,289,600","289,782.86","86,400,000","720,000","CON0094180","","App Engine - Fulfiller   (JPY)","400","6,727","App Engine Fulfiller","Now Platform App Engine","CLI0170346"
"NTT Communications Corp","NTT Communications Corp","ACCT0059218","150,936,000","1,457,486.61","218,880,000","1,824,000","CON5019847","","App Engine - Unrestricted User (JPY)","7,600","1,655","App Engine Unrestricted User","Now Platform App Engine","CLI0175338"
"NTT Com Managed Services SAU","NTT Com Managed Services SAU","ACCT0070970","24,000","24,000","180,000","180,000","CON0082214-NEW","","App Engine - Fulfiller   (USD)","100","20","App Engine Fulfiller","Now Platform App Engine","CLI0175090"
"NSK Europe Ltd","NSK Europe Ltd","ACCT0070854","23,256","31,800.1","26,280","36,000","CON1272982","","App Engine - Fulfiller   (GBP)","20","96.9","App Engine Fulfiller","Now Platform App Engine","CLI0181533"
"NRI Workplace Service Ltd","NRI Workplace Service Ltd","ACCT0152995","2,376,000","21,416.91","4,320,000","36,000","CON1266424","","App Engine - Fulfiller   (JPY)","20","9,900","App Engine Fulfiller","Now Platform App Engine","CLI0155631"
"NRG","NRG","ACCT0014023","18,000","18,000","22,500","22,500","26911TE","","Now Platform App Engine Standard - Platform User (USD)","75","20","App Engine Standard","App Engine - Legacy","CLI0104097"
"NPO Sistemi SRL","NPO Sistemi SRL","ACCT0088561","214,080","255,525.89","952,656","1,070,400","CON0669673","","Now Platform App Engine Standard - Platform User (EUR)","3,568","5","App Engine Standard","App Engine - Legacy","CLI0175303"
"Novolex","Novolex","ACCT0055404","178,680","178,680","1,890,000","1,890,000","CON0093652","","App Engine - Fulfiller   (USD)","1,050","14.18","App Engine Fulfiller","Now Platform App Engine","CLI0170456"
"Novo Nordisk AS – Corporate","Novo Nordisk AS – Corporate","ACCT0126501","213,300","256,066.65","560,700","630,000","CON0802765","","Now Platform App Engine Starter - Platform User (EUR)","7,500","2.37","App Engine Starter","App Engine - Legacy","CLI0128528"
"Novo Nordisk AS","Novo Nordisk AS","ACCT0006856","22,732.32","27,569.76","83,304","93,600","CON0802765-EUR","","App Engine - Fulfiller   (EUR)","52","36.43","App Engine Fulfiller","Now Platform App Engine","CLI0169434"
"Novitex Enterprise Solutions Inc","Novitex Enterprise Solutions Inc","ACCT0031149","8,700","8,700","8,700","8,700","14914BB","","Now Platform App Engine Standard - Platform User (USD)","29","25","App Engine Standard","App Engine - Legacy","CLI0149925"
"Novant Health Inc","Novant Health Inc","ACCT0005347","89,726.4","89,726.4","0","0","13211RW","","Now Platform® App Engine for IT Service Management - Module (USD)","1","7,477.2","App Engine ITSM","Now Platform App Engine","CLI0170477"
"Novafos AS","Novafos AS","ACCT0122820","68,234.4","11,114.09","0","0","CON0862089","","Now Platform® App Engine for IT Service Management - Module (DKK)","1","5,686.2","App Engine ITSM","Now Platform App Engine","CLI0206227"
"Nouryon Specialty Chemicals BV","Nouryon Specialty Chemicals BV","ACCT0133639","105,120","124,924.61","233,892","262,800","CON1031420","","App Engine - Fulfiller   (EUR)","146","60","App Engine Fulfiller","Now Platform App Engine","CLI0132320"
"Nouryon Specialty Chemicals BV","Nouryon Specialty Chemicals BV","ACCT0133639","0","0","0","0","CON1031420","","Now Platform App Engine Starter - Unrestricted User (EUR)","0","0","App Engine Starter","App Engine - Legacy","CLI0099014"
"Norwegian Police","Norwegian Police","ACCT0080357","115,248","136,257.71","366,324","411,600","CON0585424","","App Engine - Unrestricted User (EUR)","1,715","5.6","App Engine Unrestricted User","Now Platform App Engine","CLI0189329"
"Norton Rose Fulbright Development Services (Two) Limited","Norton Rose Fulbright Development Services (Two) Limited","ACCT0009039","20,323.2","27,636.94","27,360","36,000","CON1266743","","App Engine - Fulfiller   (GBP)","20","84.68","App Engine Fulfiller","Now Platform App Engine","CLI0144564"
"Northwestern University","Northwestern University","ACCT0001367","2,965.2","2,965.2","0","0","CON0658344","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","247.1","App Engine Professional","App Engine","CLI0184236"
"Northrop Grumman Corp - (CSSG)","Northrop Grumman Corp - (CSSG)","ACCT0144698","1,525.92","1,525.92","1,848","1,848","CON1159936","","Now Platform App Engine Starter - Platform User (USD)","22","5.78","App Engine Starter","App Engine - Legacy","CLI0113963"
"Northgate Information Solutions Ltd","Northgate Information Solutions Ltd","ACCT0009160","33,588","39,929.41","67,284","75,600","CON0537465","","Now Platform App Engine Starter - Platform User (EUR)","900","3.11","App Engine Starter","App Engine - Legacy","CLI0131906"
"Northern Arizona University","Northern Arizona University","ACCT0010087","0","0","0","0","09413BE-NAUL","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","1","0","App Engine Professional","App Engine","CLI0213125"
"Northern Arizona University","Northern Arizona University","ACCT0010087","898.56","898.56","898.56","898.56","09413BE-NAUL","","I2 Now Platform® App Engine - Fulfiller User (USD)","2","37.44","App Engine Professional","App Engine","CLI0213117"
"Northern Arizona Healthcare Corp","Northern Arizona Healthcare Corp","ACCT0003702","7,383","7,383","41,400","41,400","22612BE","","App Engine - Fulfiller   (USD)","23","26.75","App Engine Fulfiller","Now Platform App Engine","CLI0129623"
"Northeastern University","Northeastern University","ACCT0002829","22,059.6","22,059.6","0","0","CON0682930","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,838.3","App Engine Professional","App Engine","CLI0145040"
"North Carolina State University","North Carolina State University","ACCT0010712","33,920.64","33,920.64","0","0","CON0061129-NCSU","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","2,826.72","App Engine Professional","App Engine","CLI0156315"
"North Carolina Community College System","North Carolina Community College System","ACCT0023462","5,040","5,040","12,600","12,600","CON0625051","","App Engine - Fulfiller   (USD)","7","60","App Engine Fulfiller","Now Platform App Engine","CLI0201489"
"Norsk Sykepleierforbund","Norsk Sykepleierforbund","ACCT0073972","19,200.24","19,200.24","0","0","CON1031737","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","1,600.02","App Engine CSM","Now Platform App Engine","CLI0144929"
"Norlys","Norlys","ACCT0143631","897.12","1,099.78","1,602","1,800","CON1159333","","App Engine - Fulfiller   (EUR)","1","74.76","App Engine Fulfiller","Now Platform App Engine","CLI0159616"
"Norges Rode Kors","Norges Rode Kors","ACCT0064540","92,160","92,160","192,000","192,000","CON1186099","","App Engine - Unrestricted User (USD)","800","9.6","App Engine Unrestricted User","Now Platform App Engine","CLI0166600"
"Norconsult AS","Norconsult AS","ACCT0022179","156,000","185,796","320,400","360,000","BV-16113SYMF","","Now Platform App Engine Starter + - Unrestricted User (EUR)","5,000","2.6","App Engine Starter","App Engine - Legacy","CLI0163586"
"Norconsult AS","Norconsult AS","ACCT0022179","10,920","10,920","18,000","18,000","BV-16113SYMF-USD","","Now Platform App Engine Starter - Unrestricted User (USD)","500","1.82","App Engine Starter","App Engine - Legacy","CLI0143110"
"Norconsult AS","Norconsult AS","ACCT0022179","0","0","0","0","BV-16113SYMF","","Now Platform App Engine Starter - Unrestricted User (EUR)","0","0","App Engine Starter","App Engine - Legacy","CLI0120435"
"Nokia Oyj","Nokia Oyj","ACCT0031592","167,544","198,338.59","961,200","1,080,000","CON5013020","","App Engine - Fulfiller   (EUR)","600","23.27","App Engine Fulfiller","Now Platform App Engine","CLI0198856"
"Nokia Oyj","Nokia Oyj","ACCT0031592","374,010","442,753.04","0","0","CON5013020","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","31,167.5","App Engine ITSM","Now Platform App Engine","CLI0198854"
"Node4 Ltd","Node4 Ltd","ACCT0090639","4,734.24","6,491.63","0","0","CON0757757","","Now Platform® App Engine for IT Service Management - Module (GBP)","1","394.52","App Engine ITSM","Now Platform App Engine","CLI0190975"
"NoaNet","NoaNet","ACCT0107453","13,440","13,440","0","0","CON0671837","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","1,120","App Engine CSM","Now Platform App Engine","CLI0180844"
"NN Investment Partners Intl Holdings BV","NN Investment Partners Intl Holdings BV","ACCT0066602","136,800","167,525.28","304,380","342,000","CON0566106-Invest","","App Engine - Unrestricted User (EUR)","1,425","8","App Engine Unrestricted User","Now Platform App Engine","CLI0172664"
"Nippon Telegraph And Telephone East Corp - Digital Design","Nippon Telegraph And Telephone East Corp - Digital Design","ACCT0157420","5,227,200","46,911.48","4,752,000","39,600","CON5016792","","App Engine - Fulfiller   (JPY)","22","19,800","App Engine Fulfiller","Now Platform App Engine","CLI0186428"
