Acct Number,Account,Cacv
ACCT0006539,James Hardie Building Products Inc,"1,167,569.75"
ACCT0031224,DOJ: OJP Office Justice Program,"1,167,458.76"
ACCT0003015,CommScope Inc,"1,167,081.20"
ACCT0012076,Lazard Frères & Co. LLC,"1,166,804.04"
ACCT0071139,"Modivcare Solutions, LLC","1,165,669.78"
ACCT0005809,Agilisys Group Ltd,"1,164,400.95"
ACCT0068986,HCL - LFAB,"1,164,314.88"
ACCT0001182,Acxiom Corp,"1,164,284.78"
ACCT0011915,Bechtle AG,"1,164,073.27"
ACCT0007099,USDA -MRP,"1,163,501.96"
ACCT0008964,Federal Home Loan Bank Of Chicago,"1,162,851.60"
ACCT0004467,Constellation Brands Inc,"1,162,652.87"
ACCT0091709,Consilio LLC,"1,162,100.49"
ACCT0025709,SB Technology Corp,"1,161,225.63"
ACCT0016688,UK Power Networks Operations Ltd,"1,160,911.67"
ACCT0068316,"Chewy, Inc.","1,159,981.33"
ACCT0066665,ORIX Computer Systems Corp,"1,158,912.24"
ACCT0131965,Version 1 Software Limited,"1,157,605.31"
ACCT0174697,Mindtree Ltd - Renesas,"1,156,865.40"
ACCT0143793,Computer Sciences Corp – Woodside,"1,156,596"
ACCT0012862,"NASCAR Enterprises, LLC","1,156,314.60"
ACCT0023851,BAC Latam SSC SA,"1,154,743.92"
ACCT0009147,Western Digital Corp,"1,154,525.59"
ACCT0003398,Rollins Inc,"1,154,254.80"
ACCT0007516,AccentCare Inc,"1,153,237.32"
ACCT0004084,Owens-Illinois General Inc,"1,149,365.16"
ACCT0016864,Region Sjaelland,"1,147,387.78"
ACCT0020625,University Of Technology Sydney,"1,147,086.01"
ACCT0008909,GCI Networks Solutions Ltd,"1,145,443.40"
ACCT0014351,Centric Netherlands BV,"1,144,156.67"
ACCT0138325,NIH - Center for Information Technology,"1,143,711"
ACCT0006869,Cargotec Oyj,"1,143,516.27"
ACCT0067892,Harland Clarke Corp,"1,142,979.24"
ACCT0053690,Chickasaw Nation,"1,142,366.52"
ACCT0163560,Virginia Department of Health,"1,142,336.04"
ACCT0006851,Moses Cone Health System,"1,141,608"
ACCT0019221,Klabin,"1,141,252.12"
ACCT0030169,Nippon Hoso Kyokai,"1,141,246.76"
ACCT0001584,CoBank ACB,"1,140,124.17"
ACCT0017187,Cherokee Nation Entertainment LLC,"1,139,254.44"
ACCT0003350,Nemours Foundation,"1,138,913.35"
ACCT0128850,Irish Water,"1,138,693.84"
ACCT0134728,Hyperoptic,"1,138,407.30"
ACCT0016782,St James's Place Management Services Ltd,"1,137,619.25"
ACCT0017211,Farm Credit Mid-America,"1,136,912.85"
ACCT0134887,Operational Services - BVG,"1,136,813.16"
ACCT0210977,Deloitte Global Services (MSP-OperateEdge),"1,136,768.28"
ACCT0154704,UD Trucks India Pvt Ltd,"1,135,855.92"
ACCT0019095,Bureau Of Safety And Environmental Enforcement BSEE,"1,135,310.64"
ACCT0002332,Rent-A-Center Texas LP,"1,135,000.09"
ACCT0022752,The Clearing House Payments Company LLC,"1,134,780.29"
ACCT0019328,DS Smith Plc,"1,134,418.90"
ACCT0003606,Reliance Steel & Aluminum Co,"1,133,964.72"
ACCT0010983,TPx Communications,"1,133,340.00"
ACCT0004563,New York Power Authority,"1,132,502.40"
ACCT0007982,Athenahealth Inc,"1,132,293.80"
ACCT0093530,Asahi Holdings Australia Pty Ltd,"1,130,985.52"
ACCT0031277,Playtika Ltd,"1,130,406.60"
ACCT0008192,Hopitaux Universitaires de Geneve,"1,130,391.08"
ACCT0033650,Navient Solutions LLC,"1,129,812.48"
ACCT0021866,"Banco Bilbao Vizcaya Argentaria, S.A.","1,129,430.89"
ACCT0001125,UNS Energy Corp (Tucson Electric Power),"1,128,844.09"
ACCT0151691,"SentinelOne, Inc.","1,128,259.70"
ACCT0027187,Siam Commercial Bank PCL,"1,128,106.20"
ACCT0022312,Tryg Forsikring AS,"1,124,624.48"
ACCT0010715,UnitingCare Queensland,"1,123,561.63"
ACCT0033505,Northern Territory of Australia - Dept of Corporate and Information Services,"1,122,807.98"
ACCT0004249,Lennar Corp,"1,122,702.63"
ACCT0136390,"Deepwatch, inc","1,122,216"
ACCT0005759,Arch Capital Services LLC,"1,121,970.12"
ACCT0011057,PricewaterhouseCoopers GmbH Wirtschaftsprufungsgesellschaft,"1,121,772"
ACCT0004306,Christiana Care Health Services Inc,"1,121,599.20"
ACCT0100746,PROPIMEX S. DE R.L. DE C.V,"1,121,386.56"
ACCT0175868,Tech Mahindra (MSP-EA) - Avarn Security AS,"1,120,992.84"
ACCT0007756,Alorica Inc,"1,120,725.96"
ACCT0067382,Thales Alenia Space,"1,119,957.19"
ACCT0038195,Valmet Oyj,"1,119,890.68"
ACCT0005003,Federal Reserve Bank Of New York,"1,118,137.32"
ACCT0020274,Hamburg Port Authority Anstalt Offentlichen Rechts,"1,117,848.93"
ACCT0008820,Sleep Number,"1,117,682"
ACCT0149652,RSM US LLP - DASH,"1,116,999.53"
ACCT0020664,Egton Medical Information Systems Ltd EMIS,"1,116,929.14"
ACCT0009974,European Bank of Reconstruction & Development,"1,116,474.75"
ACCT0020025,Arizona Department of Economic Security,"1,116,298.80"
ACCT0157119,Unsere Grune Glasfaser GmbH & Co KG,"1,115,681.84"
ACCT0154518,Fujitsu - HM Revenue & Customs,"1,115,628.80"
ACCT0091318,Computer Sciences Corp - Societe Europeenne Des Satellites SES SA,"1,113,771.26"
ACCT0074659,MPO – ON,"1,113,480"
ACCT0004545,Mediacom Communications Corporation,"1,112,501.91"
ACCT0016894,Allstate Insurance Co Of Canada,"1,111,739.11"
ACCT0161561,SK Hynix NAND Product Solutions Corp dba Solidigm,"1,111,607.04"
ACCT0002037,Zebra Technologies Corp,"1,111,297.32"
ACCT0068292,Primark Ltd,"1,111,127.66"
ACCT0064512,Driver Vehicle Standards Agency,"1,110,947.71"
ACCT0096468,GOVW – HR,"1,110,348"
ACCT0010371,Houses of Parliament,"1,108,284.19"
ACCT0001400,State Of Kansas,"1,106,756.40"
ACCT0001138,Federated Co-Operatives Ltd,"1,105,929.18"
ACCT0135785,US Navy - Naval Surface Warfare Center NSWC Dahlgren,"1,105,274.16"
ACCT0170712,Tech Mahindra (MSP-EA) - Tele2 Sverige AB,"1,105,085.28"
ACCT0161079,FAA Enterprise Service Center,"1,104,356.76"
ACCT0002049,University Of Chicago Medical Center,"1,103,502.38"
ACCT0082690,CHG-Meridian AG,"1,102,973.94"
ACCT0027458,Anthology Inc.,"1,102,344.38"
ACCT0018936,Telefonica UK Ltd,"1,099,867.43"
ACCT0010932,Washington University in St. Louis,"1,099,809.60"
ACCT0001223,PetSmart LLC,"1,099,612.48"
ACCT0002453,"Berkley Technology Services, LLC","1,099,467"
ACCT0007578,Golden 1 Credit Union,"1,098,720"
ACCT0019359,Inpex Operations Australia Pty Ltd,"1,098,536.08"
ACCT0147492,Latitude Financial Services Australia Holdings Pty Ltd,"1,098,395.69"
ACCT0019115,Western Sydney University,"1,097,753.74"
ACCT0001810,Vail Resorts Inc,"1,097,224.92"
ACCT0019730,Gothaer Solutions GmbH,"1,097,169.95"
ACCT0023693,Van Oord Support Services BV,"1,096,931.21"
ACCT0009608,Nebraska Furniture Mart Inc,"1,096,854.28"
ACCT0012591,"Forward Air Technology and Logistics Services, Inc.","1,096,679.15"
ACCT0015461,Love's Travel Stops,"1,096,230"
ACCT0074404,JAMF Software LLC,"1,095,840"
ACCT0168176,Epicon IT - Australian Electoral Commission,"1,095,596.86"
ACCT0002404,Kimberly-Clark Corp,"1,094,768.00"
ACCT0009731,KAR Auction Services Inc,"1,094,526.10"
ACCT0020827,APT Management Services Pty Limited,"1,092,727.43"
ACCT0013288,Bayview Asset Management LLC,"1,091,718"
ACCT0089850,HCL - Standard Insurance Co,"1,091,452.43"
ACCT0198131,Infosys - ASR Nederland,"1,089,382.80"
ACCT0130285,Banco De Galicia Y Buenos Aires SA,"1,088,984.55"
ACCT0016349,KKR & Co LP,"1,088,396.76"
ACCT0009059,Yazaki North America Inc,"1,088,287.40"
ACCT0020991,Region Stockholm,"1,088,094.64"
ACCT0091065,Armanino LLP,"1,087,290"
ACCT0064511,WorkSafe Victoria,"1,087,043.25"
ACCT0003050,International Paper Co,"1,086,950.64"
ACCT0016033,Epiq Systems Inc,"1,086,583.20"
ACCT0001179,Casey's General Stores Inc,"1,086,504.00"
ACCT0153524,EYCT (CTP),"1,085,991"
ACCT0005248,Bentley Systems Inc,"1,085,712"
ACCT0010596,Ricoh Americas Corp,"1,085,560.68"
ACCT0001315,Energizer Intl Inc,"1,084,183.44"
ACCT0014298,Ove Arup and Partners International,"1,084,127.55"
ACCT0008584,Synamedia Limited,"1,083,716.84"
ACCT0032227,VIBRA ENERGIA S.A,"1,081,990.61"
ACCT0157034,Mindtree Ltd - Dixons Carphone Plc,"1,081,533.11"
ACCT0000575,Pacific Life Insurance Co,"1,080,850"
ACCT0070832,Avon Cosmetics Limited,"1,080,739.95"
ACCT0013357,Moneris Solutions Corp,"1,080,060.62"
ACCT0002937,US GAO,"1,080,011.16"
ACCT0143631,Norlys,"1,079,933.65"
ACCT0000532,Pinnacle Financial Partners Inc,"1,079,858.64"
ACCT0008748,ENMAX Corp,"1,079,834.62"
ACCT0019847,Caixa Economica Federal CEF,"1,078,437.53"
ACCT0013327,Methodist Le Bonheur Healthcare,"1,078,287"
ACCT0000070,New York State Office Of The State Comptroller,"1,077,827.04"
ACCT0026749,Vrije Universiteit Amsterdam,"1,077,784.56"
ACCT0013299,"Blue Cross & Blue Shield of MA,Inc. Blue Cross & Blue Shield of MA HMO Blue,Inc.","1,077,699.08"
ACCT0151622,Unisys - Electric Boat,"1,077,038.64"
ACCT0048762,Telia Cygate AB,"1,076,923.31"
ACCT0020351,BlueScope Steel Ltd,"1,076,555.28"
ACCT0008724,Sacramento Municipal Utility District SMUD,"1,075,368.96"
ACCT0002102,Panera Bread Company,"1,074,646.62"
ACCT0000999,Chesapeake Energy Corp,"1,073,903.20"
ACCT0097845,OneStream Software LLC,"1,073,610.06"
ACCT0032165,Via Varejo SA,"1,073,545.38"
ACCT0010216,Red Bull GmbH,"1,073,529.47"
ACCT0017164,Outokumpu Oyj,"1,072,136.91"
ACCT0027302,Maxis Broadband Sdn Bhd,"1,071,794.40"
ACCT0021429,Auckland Transport,"1,071,715.44"
ACCT0005288,Credit Acceptance Corp,"1,071,636"
ACCT0101516,Computer Sciences Corp Internal HR,"1,071,399.92"
ACCT0092653,GDIT - Centers For Medicare And Medicaid Services,"1,071,184.80"
ACCT0180841,Intrado Life & Safety,"1,070,955.84"
ACCT0000973,BJ's Wholesale Club Inc,"1,070,822.16"
ACCT0076212,Agilent Technologies Inc,"1,070,494.80"
ACCT0141606,Peraton - County of San Diego,"1,069,723.40"
ACCT0022291,Zayo Group LLC,"1,067,267.02"
ACCT0170839,Google Support Services LLC,"1,067,190"
ACCT0019726,Orange Business Services AS,"1,066,858.80"
ACCT0004251,Synovus Financial Corp,"1,066,558.21"
ACCT0015607,"The Havi Group, L.P.","1,066,182"
ACCT0005346,CAI Innovations,"1,065,277.49"
ACCT0031269,King Faisal Specialist Hospital & Research Centre KFSH,"1,065,234.60"
ACCT0005096,ConvaTec Ltd.,"1,064,594.40"
ACCT0064041,Covestro Deutschland AG,"1,064,366.97"
ACCT0008789,City Of Toronto,"1,064,268.19"
ACCT0002577,CDM Smith Inc,"1,063,809.60"
ACCT0038898,"Nutanix, Inc.","1,062,660"
ACCT0012143,UC Davis Health,"1,062,615"
ACCT0156725,Tech Mahindra (MSP-EA) - Parker-Hannifin Corp,"1,062,060"
ACCT0025589,loanDepot,"1,061,958.48"
ACCT0156969,CGI IT UK Limited,"1,061,758.17"
ACCT0008269,American Fidelity Corporation,"1,061,510.76"
ACCT0031652,Nuuday A/S,"1,060,868.48"
ACCT0016815,SailPoint Technologies Inc,"1,060,500"
ACCT0141975,Aruba Services,"1,060,449"
ACCT0001290,Brunswick Corporation,"1,059,980.00"
ACCT0026359,Ascend Technologies,"1,058,853.96"
ACCT0024849,Heraeus Consulting & IT Solutions GmbH,"1,057,090.66"
ACCT0098905,Alteryx Inc,"1,056,456.60"
ACCT0138828,Kyndryl - Bank Of The Philippine Islands,"1,056,045.60"
ACCT0001035,"Orrick, Herrington & Sutcliffe LLP","1,056,042.61"
ACCT0025931,"Inmar, Inc.","1,055,781.68"
ACCT0006079,Vertiv Corporation,"1,055,112"
ACCT0011528,Nordex SE,"1,054,976.65"
ACCT0002829,Northeastern University,"1,053,907.26"
ACCT0007927,Westgate Resorts Ltd,"1,052,443.20"
ACCT0196393,Cognizant - BOKF,"1,050,783.24"
ACCT0021026,AMAG Corporate Services AG,"1,049,550.81"
ACCT0001531,Patterson Companies Inc,"1,048,131.50"
ACCT0145402,Statens IT,"1,047,168.04"
ACCT0140130,Advisor360,"1,046,487.53"
ACCT0005312,Logicalis International Ltd,"1,045,204.87"
ACCT0021721,Inovalon Inc,"1,044,681.64"
ACCT0015074,Export Development Canada,"1,044,298.87"
ACCT0000226,Yahoo Holdings Inc,"1,043,168.18"
ACCT0214595,Serco EM,"1,042,379.09"
ACCT0002166,Crown Castle USA Inc.,"1,042,113.79"
ACCT0003027,Eastman Chemical Co,"1,040,916.60"
ACCT0183605,Operational Services - GKV informatik GbR,"1,040,652.33"
ACCT0164435,Telefonica Tech UK Ltd,"1,039,097.40"
ACCT0004854,Align Technology Inc,"1,038,537.75"
ACCT0017875,Federal Trade Commission,"1,037,083.77"
ACCT0085844,US Dept Of State - Bureau Of Political-Military Affairs PM,"1,034,705.04"
ACCT0027171,TridentUSA Health Services LLC,"1,034,451.00"
ACCT0008382,Midland Credit Management Inc,"1,034,278.33"
ACCT0068250,Prog Leasing LLC,"1,033,812"
ACCT0143977,GlobalConnect AS,"1,033,204.74"
ACCT0014360,DSV AS,"1,032,201.54"
ACCT0009962,Australian Red Cross Society (ABN 50 169 561 394) - ARCBS,"1,030,975.05"
ACCT0082189,Amsterdam UMC,"1,030,493.10"
ACCT0067691,State Of California Dept Of Child Support Services,"1,029,955.20"
ACCT0038838,Lighthouse eDiscovery Inc,"1,029,654"
ACCT0088684,Injazat Data Systems LLC,"1,029,545.85"
ACCT0005163,American Tire Distributors Inc,"1,029,000"
ACCT0157740,Kyndryl - ATCO Ltd,"1,028,790.86"
ACCT0025103,ASCENTY DATA CENTERS E TELECOMUNICAÇÕES S/A,"1,028,753.40"
ACCT0154364,HCL - Blue Yonder,"1,028,598"
ACCT0022093,SchoolsFirst Federal Credit Union,"1,028,402.32"
ACCT0107238,Accenture MSP Avanade,"1,027,519.92"
ACCT0011607,Symrise AG,"1,027,223.63"
ACCT0135520,Afya Educacional,"1,026,052.83"
ACCT0019315,Cox Communications Inc,"1,025,539.04"
ACCT0152832,USSPACECOM,"1,025,276.28"
ACCT0155414,Kyndryl - JTB Corp,"1,025,027.50"
ACCT0007003,Ferring International Center SA,"1,024,642.33"
ACCT0007785,Colt Technology Services Group Ltd,"1,024,163.05"
ACCT0091017,BeyondTrust Corp,"1,024,080.48"
ACCT0136436,Foxcorp Holdings LLC,"1,023,120"
ACCT0065739,Navisite LLC,"1,022,826.72"
ACCT0002968,"Virtua Health, Inc.","1,022,664"
ACCT0004395,Weis Markets Inc,"1,022,631.96"
ACCT0019235,UniSuper Management Pty. Ltd.,"1,022,312.85"
ACCT0021987,Australian Government Department of Employment and Workplace Relations,"1,022,120.57"
ACCT0004750,Temple University Health System Inc,"1,021,940.52"
ACCT0009102,Hospital Sisters Health System,"1,021,128.96"
ACCT0015475,Pandora AS,"1,020,742.67"
ACCT0003462,University Of Kentucky HealthCare,"1,020,060.33"
ACCT0114080,Deliveroo,"1,019,406.09"
ACCT0014359,Arla Foods,"1,019,056.92"
ACCT0172655,Cirion Technologies Solutions LLC,"1,017,238.26"
ACCT0013834,First Horizon Bank,"1,016,873.40"
ACCT0067416,Homecare Homebase LLC,"1,016,313.36"
ACCT0147460,Wipro - Marelli,"1,014,569.16"
ACCT0001300,Ingredion Inc,"1,013,496"
ACCT0009568,Dufry International AG,"1,013,291.84"
ACCT0137552,Australian Digital Health Agency,"1,013,255.26"
ACCT0014231,Coop Danmark AS,"1,012,872.54"
ACCT0010712,North Carolina State University,"1,012,820.76"
ACCT0059793,Equinti Ltd,"1,012,780.16"
ACCT0008740,TELUS Corp (MSP),"1,012,559.34"
ACCT0008835,Computacenter UK Ltd,"1,011,474.78"
ACCT0007754,"Colliers International USA, LLC","1,011,322.21"
ACCT0023474,Eg AS,"1,010,761.64"
ACCT0008797,Memorial Hermann Hospital System,"1,010,452.06"
ACCT0007651,"HF Management Services, LLC","1,009,871.56"
ACCT0001152,Helmerich & Payne Inc,"1,009,592.76"
ACCT0008752,University Of Vermont Medical Center,"1,009,502.00"
ACCT0126471,Valvoline LLC,"1,009,364.60"
ACCT0063343,Giant Eagle Inc,"1,008,578.10"
ACCT0025636,Banca Popolare Di Sondrio,"1,007,079.18"
ACCT0106874,KPMG CIO Advisory US,"1,006,940.57"
ACCT0023159,Investec Bank Ltd,"1,006,672.32"
ACCT0083141,AusNet Asset Services Pty Ltd,"1,006,437.43"
ACCT0016730,De Nederlandsche Bank NV,"1,005,635.41"
ACCT0022285,Crelan NV,"1,005,347.68"
ACCT0029242,Diagnosticos da America SA,"1,004,754.89"
ACCT0021858,Dept Of Foreign Affairs And Trade Australia,"1,003,900.33"
ACCT0022500,Cincinnati Bell Telephone Co LLC,"1,002,496.80"
ACCT0154580,HCL Technologies Ltd Internal India,"1,000,959.96"
ACCT0006400,"AM/NS Calvert LLC (formerly ThyssenKrupp Steel USA, LLC)","1,000,591.92"
ACCT0009003,Bridgestone EMEA,"1,000,586.22"
ACCT0015463,Trustmark National Bank,"999,519.30"
ACCT0137053,Public Services and Procurement Canada PSPC,"999,473.64"
ACCT0019356,NFU Mutual,"998,922.87"
ACCT0020796,Transurban Ltd,"998,846.18"
ACCT0027081,Government Employees Health Association Inc GEHA,"997,657.88"
ACCT0061184,Hilton Resorts Corporation,"997,015.27"
ACCT0022532,GreenPages LLC,"995,828.04"
ACCT0019211,ING DiBa AG,"995,802.79"
ACCT0006225,TrueBlue Inc,"995,772"
ACCT0007386,Europcar,"995,322.43"
ACCT0001298,City Of Chicago,"995,260.20"
ACCT0005976,Claranet Ltd,"995,104.74"
ACCT0021103,Dept Of Home Affairs,"994,511.67"
ACCT0058730,Webster Bank NA,"994,134"
ACCT0146094,Infosys - CEVA,"994,068.48"
ACCT0010235,OSRAM GmbH,"993,175.49"
ACCT0141058,NTT Data Corp (ITM),"992,811.24"
ACCT0004706,Shelter Insurance Companies,"991,796.32"
ACCT0004365,"Sheetz, Inc.","990,947.39"
ACCT0031633,Sealed Air Corp,"990,836"
ACCT0004555,NFP,"990,595.20"
ACCT0142769,Axispoint Technology Solutions Group,"990,530.28"
ACCT0164688,Virgin Media Ireland Ltd,"989,262.93"
ACCT0025540,Banco Santander Brasil SA,"989,065.39"
ACCT0019179,Bombardier Recreational Products Inc,"987,762.96"
ACCT0002604,Choice Hotels International Services Corp.,"987,398.16"
ACCT0005082,Presidio Networked Solutions Inc,"986,031.84"
ACCT0003355,"Northside Hospital, Inc.","985,266.80"
ACCT0031590,Nissan Motor Co Ltd,"983,974.91"
ACCT0091399,"Lucid USA, Inc.","982,803.96"
ACCT0027934,Grupo Nacional Provincial SAB,"982,477.08"
ACCT0014057,Grundfos Holding AS,"982,241.51"
ACCT0038015,SONY Network Communications Inc.,"982,112.75"
ACCT0008552,Hilti Corp,"981,663"
ACCT0006667,Kettering Health,"980,530.97"
ACCT0024547,BRF Foods,"978,536.41"
ACCT0010937,Johns Hopkins University Applied Physics Laboratory,"978,311.11"
ACCT0014072,Laing O'Rourke Services Ltd,"978,305.08"
ACCT0180304,Pantex Plant,"978,170.88"
ACCT0079654,Sendas Distribuidora SA,"977,158.94"
ACCT0067984,"Rakuten Card Co., Ltd","975,905.62"
ACCT0024673,Rede D'or Sao Luiz SA,"975,439.58"
ACCT0008854,"Fisher Asset Management, LLC","974,584.44"
ACCT0069870,Cognizant - Cengage,"972,966.36"
ACCT0001222,UnityPoint Health,"972,467.99"
ACCT0097525,Stone Instituição de Pagamento S.A,"972,021.53"
ACCT0011000,Defense Contracts Audit Agency DCAA,"972,000"
ACCT0039978,SecureWorks Inc,"971,960"
ACCT0134249,Federal Retirement Thrift Investment Board - Office of Participant Services,"971,162.28"
ACCT0179063,Devoteam Saudi Ltd. Co - Ministry Of Justice Kingdom Of Saudi Arabia,"970,200"
ACCT0150859,Fujitsu Finland Oy [SHARED Summa],"969,623.36"
ACCT0157045,Helios IT Service GmbH,"969,621.12"
ACCT0006569,University Of California Irvine,"969,578.04"
ACCT0006934,University Health Network,"968,746.91"
ACCT0008938,Mettler-Toledo Intl Inc,"968,349.01"
ACCT0018362,Pernod Ricard,"966,390.89"
ACCT0003798,FBL Financial Group Inc,"966,193.72"
ACCT0006862,National Rural Electric Cooperative Association,"965,586"
ACCT0162687,G4S Ltd,"964,815"
ACCT0033633,Floor & Decor Outlets Of America Inc,"964,515.73"
ACCT0066284,Sumitomo Mitsui Banking Corp,"963,232.10"
ACCT0040553,Union IT-Services GmbH,"962,674.33"
ACCT0216109,NSS Vaccination,"961,649.85"
ACCT0074197,Acerta BV,"961,609.61"
ACCT0112048,USAF - Air Force Materiel Command,"961,327.32"
ACCT0006796,ANSYS Inc,"961,286.89"
ACCT0026427,Asian Development Bank ADB,"961,043.04"
ACCT0106036,Caisse Nationale Des Allocations Familiales,"961,032.86"
ACCT0027262,Suzuki Motor Corp,"960,708.04"
ACCT0067550,Tata Communications Netherlands BV,"960,477.36"
ACCT0021884,Autoliv AB UK,"960,288.15"
ACCT0172319,Infosys - Ocwen,"959,472"
ACCT0009139,Curtin University,"959,445.12"
ACCT0008135,"WideOpenWest Finance, LLC","958,473.84"
ACCT0059533,Red River Technology LLC,"956,630.64"
ACCT0016619,Fujitsu Finland Oy,"955,896.18"
ACCT0031919,Gruma SAB De CV,"955,788.48"
ACCT0007648,Eisai Corporation Of North America,"955,562.40"
ACCT0065626,Dept Of Prime Minister And Cabinet,"954,099.30"
ACCT0004551,Moog Inc,"953,372.39"
ACCT0196404,Cognizant - FIS MSP,"952,209.24"
ACCT0001596,City & County Of Denver,"951,620.24"
ACCT0013996,"Independence Blue Cross, LLC","951,096"
ACCT0119283,Capgemini NL - Eneco,"949,843.24"
ACCT0009982,The Pennsylvania State University,"949,634.32"
ACCT0021138,Massachusetts Bay Transportation Authority,"949,070.36"
ACCT0022713,Amazon Web Services LLC,"948,999.96"
ACCT0000906,Steelcase Inc,"948,716.36"
ACCT0039855,HealthEdge Software Inc,"948,493.92"
ACCT0001615,British Columbia Lottery Corp,"948,239.51"
ACCT0094717,SHV Energy NV,"948,099.03"
ACCT0010376,Dresden-IT GmbH,"948,027.80"
ACCT0004661,Warner Music Group Corp,"947,581.56"
ACCT0146230,Fujitsu Finland oy - Apotti,"947,459.06"
ACCT0157942,Genmab A/S,"947,268"
ACCT0005684,Discount Tire Co Inc,"946,902.24"
ACCT0169504,NPO Sistemi SRL - Maire Tecnimont Group,"946,725.32"
ACCT0004698,Bryan Cave Leighton Paisner LLP,"946,671.25"
ACCT0007757,Global Credit Union,"945,232.20"
ACCT0006304,Targa Resources LLC,"943,840.80"
ACCT0006695,Transcom Worldwide AB,"943,526.56"
ACCT0137606,HCL - Easy Jet,"943,500"
ACCT0027218,Mitsui Fudosan Co Ltd,"943,331.60"
ACCT0141108,Neos Networks Ltd,"942,452.36"
ACCT0007644,Capital District Physicians Health Plan Inc CDPHP,"942,358.34"
ACCT0017210,Public Safety Canada,"941,805.57"
ACCT0001392,Sidley Austin LLP,"941,623.20"
ACCT0022732,Inland Revenue Department,"941,590.37"
ACCT0022208,Tokio Marine NA Services LLC,"941,340.00"
ACCT0014982,Farm Credit Canada,"940,215.02"
ACCT0181627,Tech Mahindra Ltd,"940,104"
ACCT0007161,Army Installation Management Command,"939,747.97"
ACCT0014328,Accenture Federal Services - IRS,"939,239.52"
ACCT0021487,CityFibre Ltd,"939,204.79"
ACCT0146123,Coretelligent,"936,006.96"
ACCT0091504,Apex Fund Company Services (Ireland) Ltd,"935,854.79"
ACCT0002210,National Instruments Corp,"934,842"
ACCT0001022,Hasbro Inc,"933,580.20"
ACCT0096460,Cyxtera Technologies LLC f/k/a Cyxtera Technologies Inc,"932,932.92"
ACCT0135821,Saudi National Information Center SaudiNIC,"932,744.40"
ACCT0022103,"Sentinel Technologies, Inc.","932,505"
ACCT0141355,Sonepar International - SI,"932,036.75"
ACCT0005491,Saint Luke's Health System Inc,"931,999.99"
ACCT0021705,"Apollo Management Holding, L.P.","931,992.60"
ACCT0142341,Arabian Internet & Communication Services Company,"931,669.04"
ACCT0003413,"Serta Simmons Bedding, LLC","931,267.55"
ACCT0030003,Birmingham City Council,"930,798.67"
ACCT0169289,"Convera USA, LLC","929,544"
ACCT0015626,Progressive Casualty Insurance Company,"928,945.80"
ACCT0081159,Lufthansa AirPlus Servicekarten Gmbh,"928,387.43"
ACCT0113421,Eni Plenitude S.p.A. Societa Benefit,"928,170.13"
ACCT0161376,IBM - Mayr-Melnhof Service,"927,965.88"
ACCT0165691,Plat4mation BV - Kadaster,"926,603.51"
ACCT0019608,Wartsila Corp,"926,311.23"
ACCT0148845,iTech AG - OSD - Federal,"925,776.48"
ACCT0038099,Exponential-e Ltd,"925,572.66"
ACCT0026408,Six Degrees Holdings Ltd,"924,886.29"
ACCT0214042,Cognizant - Clearwater Paper Corp,"924,764.55"
ACCT0000229,Wellspan Health,"923,976"
ACCT0182027,Capgemini Technologies Inc - 3M Company,"923,940"
ACCT0003063,Markel Corp,"923,744.94"
ACCT0005274,Alcoa USA Corp,"923,647.68"
ACCT0065683,Santander Mexico SA,"923,628.60"
ACCT0150614,IWG Plc,"922,992.96"
ACCT0031553,KONE Oyj,"922,623.09"
ACCT0152609,Verizon Wireline - VBG,"922,540.92"
ACCT0012014,LEONI AG,"922,139.03"
ACCT0008962,Sallie Mae Bank,"921,841.20"
ACCT0005425,Athene Annuity and Life Co,"921,788.64"
ACCT0009061,HUB Intl Ltd,"921,233.77"
ACCT0011329,Omya Schweiz AG,"920,983.25"
ACCT0008153,Aspirus Inc,"920,898.77"
ACCT0004449,Broadridge Financial Solutions Inc,"920,460"
ACCT0017943,Wayfair LLC,"919,220.60"
ACCT0004159,Protective Life Insurance Company,"919,199.64"
ACCT0013295,Aaron's LLC,"915,606.76"
ACCT0011139,Quidel Corp,"914,867.20"
ACCT0033531,Unicred Do Brasil,"914,748.51"
ACCT0005435,Blue Cross Blue Shield of North Dakota,"914,526"
ACCT0027517,The Trustee For The NSW Electricity Networks Operations Trust,"913,524.59"
ACCT0004216,Aflac Inc,"912,000"
ACCT0011251,Pierer Mobility AG,"911,799.47"
ACCT0010071,University Of Texas At Austin,"911,561.64"
ACCT0032795,Gerdau Acos Longos SA,"911,473.61"
ACCT0028343,StoneX Group Inc.,"911,004"
ACCT0067988,Department Of Education,"910,938.05"
ACCT0133074,InterGlobe Aviation Ltd,"910,110.78"
ACCT0005663,AXIS Capital Holdings Ltd,"909,512.03"
ACCT0012761,Lee Memorial Health System,"908,834.60"
ACCT0021419,Iron Mountain Data Centers LLC,"908,580"
ACCT0010488,Subaru Of America Inc,"908,097.96"
ACCT0155647,Resolution Life  Services Australia Pty Ltd,"907,326.35"
ACCT0030041,Asahi Mutual Life Insurance Co,"906,793.97"
ACCT0005350,"Wolfspeed, Inc.","906,767.60"
ACCT0020565,The Trustee for THE PRICEWATERHOUSECOOPERS SERVICES TRUST,"906,231.78"
ACCT0076959,SK Hynix Inc,"903,778.08"
ACCT0037548,Iveco SpA,"903,674.81"
